,index,epoch,year,month,day,hour,minute,second,update,status,bleu,chrf,cross-entropy,perplexity,valid-script
0,0.0,11.0,2023.0,6.0,3.0,13.0,48.0,54.0,2968.0,new best,0.366136,13.6007,82.5544,262.175,0.0
1,5.0,21.0,2023.0,6.0,3.0,14.0,2.0,41.0,5933.0,new best,0.896242,17.7051,83.3085,275.857,0.0
2,10.0,31.0,2023.0,6.0,3.0,14.0,16.0,47.0,8898.0,new best,1.1521,18.771,88.1826,383.248,0.0
3,15.0,34.0,2023.0,6.0,3.0,14.0,26.0,24.0,10000.0,new best,1.33489,19.8979,90.9317,461.338,0.0
4,20.0,41.0,2023.0,6.0,3.0,14.0,37.0,37.0,11864.0,new best,1.5012,20.8086,95.8422,642.513,0.0
5,25.0,51.0,2023.0,6.0,3.0,14.0,51.0,50.0,14829.0,new best,1.88328,22.2401,104.214,1130.2,0.0
6,30.0,61.0,2023.0,6.0,3.0,15.0,5.0,57.0,17795.0,stalled 1 times (last best: 1.88328),1.80302,22.1177,112.13,1927.86,0.0
7,35.0,68.0,2023.0,6.0,3.0,15.0,18.0,30.0,20000.0,stalled 2 times (last best: 1.88328),1.72417,22.2982,117.622,2792.27,0.0
8,40.0,71.0,2023.0,6.0,3.0,15.0,27.0,12.0,20760.0,stalled 3 times (last best: 1.88328),1.83072,22.5977,119.293,3125.52,0.0
9,45.0,81.0,2023.0,6.0,3.0,15.0,42.0,0.0,23727.0,new best,1.8954,22.6424,125.91,4884.06,0.0
10,50.0,91.0,2023.0,6.0,3.0,15.0,56.0,37.0,26693.0,stalled 1 times (last best: 1.8954),1.83969,22.4725,130.775,6781.05,0.0
11,55.0,101.0,2023.0,6.0,3.0,16.0,11.0,19.0,29659.0,new best,1.92927,22.7971,134.686,8828.46,0.0
12,60.0,102.0,2023.0,6.0,3.0,16.0,18.0,49.0,30000.0,new best,2.21837,22.7974,136.827,10200.0,0.0
13,65.0,111.0,2023.0,6.0,3.0,16.0,31.0,35.0,32628.0,stalled 1 times (last best: 2.21837),2.07796,22.6321,139.338,12083.0,0.0
14,70.0,121.0,2023.0,6.0,3.0,16.0,45.0,47.0,35593.0,stalled 2 times (last best: 2.21837),1.96003,22.6105,142.109,14566.3,0.0
15,75.0,131.0,2023.0,6.0,3.0,16.0,59.0,57.0,38558.0,stalled 3 times (last best: 2.21837),2.04822,22.7216,144.827,17498.1,0.0
16,80.0,135.0,2023.0,6.0,3.0,17.0,10.0,26.0,40000.0,stalled 4 times (last best: 2.21837),1.86346,22.2972,145.534,18352.2,0.0
17,85.0,141.0,2023.0,6.0,3.0,17.0,20.0,52.0,41524.0,stalled 5 times (last best: 2.21837),2.16054,23.3253,146.819,20014.3,0.0
18,90.0,151.0,2023.0,6.0,3.0,17.0,35.0,8.0,44493.0,stalled 6 times (last best: 2.21837),1.9672,22.6051,147.843,21445.5,0.0
