,index,epoch,year,month,day,hour,minute,second,update,status,bleu,chrf,cross-entropy,perplexity,valid-script
0,0.0,11.0,2023.0,5.0,31.0,12.0,56.0,16.0,2968.0,new best,0.753966,15.0711,105.698,137.998,0.0
1,5.0,21.0,2023.0,5.0,31.0,13.0,11.0,28.0,5933.0,new best,0.919478,18.0336,108.136,154.614,0.0
2,10.0,31.0,2023.0,5.0,31.0,13.0,26.0,37.0,8898.0,stalled 1 times (last best: 0.919478),0.90243,19.5935,119.262,259.706,0.0
3,15.0,34.0,2023.0,5.0,31.0,13.0,36.0,6.0,10000.0,new best,0.984389,19.9284,120.927,280.676,0.0
4,20.0,41.0,2023.0,5.0,31.0,13.0,47.0,44.0,11864.0,new best,1.06917,20.7317,127.924,388.92,0.0
5,25.0,51.0,2023.0,5.0,31.0,14.0,3.0,3.0,14829.0,stalled 1 times (last best: 1.06916),1.04739,21.4614,140.878,711.38,0.0
6,30.0,61.0,2023.0,5.0,31.0,14.0,18.0,28.0,17795.0,stalled 2 times (last best: 1.06916),1.02891,21.9157,153.585,1286.35,0.0
7,35.0,68.0,2023.0,5.0,31.0,14.0,31.0,38.0,20000.0,stalled 3 times (last best: 1.06916),1.06849,21.9648,161.991,1903.47,0.0
8,40.0,71.0,2023.0,5.0,31.0,14.0,39.0,55.0,20760.0,stalled 4 times (last best: 1.06916),1.02775,22.1685,164.904,2180.33,0.0
9,45.0,81.0,2023.0,5.0,31.0,14.0,55.0,20.0,23727.0,new best,1.06932,22.1634,176.965,3825.54,0.0
10,50.0,91.0,2023.0,5.0,31.0,15.0,10.0,53.0,26693.0,stalled 1 times (last best: 1.06932),0.957272,22.4223,184.352,5398.12,0.0
11,55.0,101.0,2023.0,5.0,31.0,15.0,26.0,31.0,29659.0,stalled 2 times (last best: 1.06932),1.04165,22.3872,195.139,8925.57,0.0
12,60.0,102.0,2023.0,5.0,31.0,15.0,33.0,50.0,30000.0,stalled 3 times (last best: 1.06932),0.997252,22.5012,195.144,8927.82,0.0
13,65.0,111.0,2023.0,5.0,31.0,15.0,48.0,20.0,32628.0,stalled 4 times (last best: 1.06932),0.949177,22.344,202.75,12727.1,0.0
14,70.0,121.0,2023.0,5.0,31.0,16.0,3.0,49.0,35593.0,stalled 5 times (last best: 1.06932),0.992158,22.5432,210.378,18161.3,0.0
15,75.0,131.0,2023.0,5.0,31.0,16.0,19.0,25.0,38558.0,stalled 6 times (last best: 1.06932),1.02961,22.5159,216.771,24467.5,0.0
16,80.0,135.0,2023.0,5.0,31.0,16.0,30.0,10.0,40000.0,stalled 7 times (last best: 1.06932),1.01647,22.5088,219.139,27322.9,0.0
17,85.0,141.0,2023.0,5.0,31.0,16.0,40.0,57.0,41524.0,stalled 8 times (last best: 1.06932),1.00319,22.5449,220.038,28491.7,0.0
18,90.0,151.0,2023.0,5.0,31.0,16.0,56.0,38.0,44493.0,stalled 9 times (last best: 1.06932),0.977939,22.5887,226.621,38725.3,0.0
