,bleu,chrf,cross-entropy,perplexity
0,0 days 00:02:51,0 days 00:02:52,0 days 00:00:07,0 days 00:00:06
1,0 days 00:02:50,0 days 00:02:52,0 days 00:00:07,0 days 00:00:07
2,0 days 00:02:49,0 days 00:02:51,0 days 00:00:07,0 days 00:00:07
3,0 days 00:02:49,0 days 00:02:50,0 days 00:00:07,0 days 00:00:06
4,0 days 00:08:32,0 days 00:02:54,0 days 00:00:07,0 days 00:00:06
5,0 days 00:02:49,0 days 00:02:51,0 days 00:00:07,0 days 00:00:06
6,0 days 00:02:49,0 days 00:02:55,0 days 00:00:07,0 days 00:00:07
7,0 days 00:02:53,0 days 00:02:53,0 days 00:00:06,0 days 00:00:07
8,0 days 00:05:08,0 days 00:02:55,0 days 00:00:07,0 days 00:00:06
9,0 days 00:02:49,0 days 00:02:55,0 days 00:00:07,0 days 00:00:07
10,0 days 00:02:56,0 days 00:02:59,0 days 00:00:07,0 days 00:00:07
11,0 days 00:02:53,0 days 00:02:58,0 days 00:00:06,0 days 00:00:07
12,0 days 00:02:51,0 days 00:03:00,0 days 00:00:07,0 days 00:00:07
13,0 days 00:11:13,0 days 00:02:56,0 days 00:00:07,0 days 00:00:07
14,0 days 00:02:49,0 days 00:02:55,0 days 00:00:08,0 days 00:00:08
15,0 days 00:02:54,0 days 00:02:55,0 days 00:00:07,0 days 00:00:07
16,0 days 00:02:50,0 days 00:02:56,0 days 00:00:07,0 days 00:00:07
17,0 days 00:07:34,0 days 00:02:56,0 days 00:00:07,0 days 00:00:07
18,0 days 00:02:53,0 days 00:02:52,0 days 00:00:07,0 days 00:00:07
