Arquitectura,Origen,Destino,learn-rate,max-length,depth,dim-vocabs,Epoch,BLEU,chrF
s2s,es,gn,0.00013,153,3,6000,190,23.32,46.2
s2s,es,gn,0.00024,168,6,6000,60,23.25,45.84
s2s,es,gn,0.018,204,7,6000,40,22.53,45.29
s2s,es,gn,0.00042,175,6,6000,50,22.66,45.11
s2s,es,gn,0.00059,178,6,6000,30,22.46,45.03
s2s,es,gn,0.00052,177,6,8000,40,21.76,44.1
s2s,es,gn,0.0020,189,6,6000,40,21.7,44.03
s2s,es,gn,0.00018,162,6,10000,90,21.44,43.8
s2s,es,gn,0.00013,155,6,10000,130,21.37,43.78
s2s,es,gn,0.0015,187,6,8000,190,21.71,43.72
s2s,es,gn,0.011,201,7,4000,20,4.38,43.43
s2s,es,gn,0.00060,179,6,10000,40,20.76,43.01
s2s,es,gn,0.0012,185,6,8000,80,20.89,42.76
s2s,es,gn,0.0016,187,6,10000,140,20.87,42.74
s2s,es,gn,0.0066,197,6,6000,30,20.39,42.5
s2s,es,gn,0.0057,196,6,6000,30,20.69,42.5
s2s,es,gn,0.0030,192,7,8000,30,19.67,41.53
s2s,es,gn,0.0015,187,6,10000,70,19.61,40.96
s2s,es,gn,0.012,201,6,10000,90,15.46,35.62
s2s,es,gn,0.015,203,5,8000,70,6.52,22.94
