Arquitectura,Origen,Destino,learn-rate,max-length,depth,dim-vocabs,Epoch,BLEU,chrF
s2s,gn,es,0.0016,187,6,6000,240,25.37,47.32
s2s,gn,es,0.0014,186,6,2000,50,25.06,47.06
s2s,gn,es,0.00012,150,4,6000,180,24.34,46.39
s2s,gn,es,0.00070,180,6,6000,130,24.33,46.02
s2s,gn,es,0.011,201,4,2000,30,23.99,45.89
s2s,gn,es,0.00053,177,6,8000,340,24.33,45.85
s2s,gn,es,0.00062,179,4,6000,40,23.95,45.8
s2s,gn,es,0.00042,175,5,8000,50,23.34,45.35
s2s,gn,es,0.0014,186,5,8000,80,23.72,45.34
s2s,gn,es,0.0029,191,5,8000,70,23.9,45.3
s2s,gn,es,0.00054,178,6,8000,120,23.77,45.22
s2s,gn,es,0.00036,173,6,8000,70,23.57,45.21
s2s,gn,es,0.00017,161,5,10000,120,23.05,44.77
s2s,gn,es,0.0053,196,7,8000,90,23.12,44.59
s2s,gn,es,0.00018,162,6,10000,80,22.97,44.47
s2s,gn,es,0.0057,196,6,6000,50,22.85,44.03
s2s,gn,es,0.012,202,7,8000,60,19.17,40.01
s2s,gn,es,0.0066,197,6,10000,40,18.32,38.33
s2s,gn,es,0.0031,192,7,8000,160,12.17,29.93
