Arquitectura,Origen,Destino,learn-rate,max-length,depth,dim-vocabs,Epoch,BLEU,chrF
transformer,es,gn,5.77e-05,198,2,2000,800,15.73,40.35
transformer,es,gn,5.79e-05,198,3,4000,950,13.84,38.32
transformer,es,gn,3.93e-05,182,4,2000,630,13.55,38.27
transformer,es,gn,9.98e-05,242,3,6000,780,13.77,37.49
transformer,es,gn,9.22e-05,230,4,4000,570,12.44,35.86
transformer,es,gn,2.18e-05,161,5,2000,730,11.95,35.81
transformer,es,gn,0.00010,268,4,6000,820,12.47,35.74
transformer,es,gn,7.55e-05,213,3,10000,960,12.53,35.72
transformer,es,gn,7.22e-05,210,4,6000,850,12.33,35.7
transformer,es,gn,7.77e-05,215,4,10000,980,12.16,34.75
transformer,es,gn,4.52e-05,188,1,4000,980,11.15,33.39
transformer,es,gn,5.58e-05,197,5,6000,1000,11.43,33.26
transformer,es,gn,3.70e-05,180,1,6000,960,10.86,32.6
transformer,es,gn,4.86e-05,190,1,6000,900,10.88,32.58
transformer,es,gn,5.17e-05,193,1,6000,810,10.96,32.56
transformer,es,gn,0.00010,245,1,4000,260,10.56,32.32
transformer,es,gn,1.67e-05,151,4,8000,870,10.74,32.1
transformer,es,gn,9.33e-05,232,5,6000,1000,10.64,31.66
transformer,es,gn,5.70e-05,198,4,8000,220,10.39,31.29
transformer,es,gn,3.72e-05,180,5,10000,1000,9.89,29.96
