Arquitectura,Origen,Destino,learn-rate,max-length,depth,dim-vocabs,Epoch,BLEU,chrF
transformer,gn,es,3.95e-05,182,3,2000,920,15.88,39.72
transformer,gn,es,5.50e-05,196,2,2000,990,15.75,39.18
transformer,gn,es,2.47e-05,166,3,6000,890,15.11,38.15
transformer,gn,es,8.85e-05,226,3,6000,580,14.9,37.86
transformer,gn,es,6.50e-05,204,4,4000,640,14.84,37.83
transformer,gn,es,8.57e-05,223,3,6000,570,14.86,37.78
transformer,gn,es,3.37e-05,177,2,8000,830,14.57,37.23
transformer,gn,es,3.40e-05,177,1,2000,920,14.12,36.68
transformer,gn,es,2.40e-05,165,4,4000,760,14.11,36.67
transformer,gn,es,9.26e-05,231,2,4000,150,13.89,36.54
transformer,gn,es,0.00010,255,4,12000,570,14.3,36.23
transformer,gn,es,2.04e-05,159,3,10000,870,14.14,36.07
transformer,gn,es,8.85e-05,226,2,8000,230,13.99,36.05
transformer,gn,es,4.71e-05,189,1,4000,530,12.97,35.29
transformer,gn,es,3.14e-05,174,1,8000,760,13.27,34.94
transformer,gn,es,8.15e-05,219,1,6000,370,13.04,34.83
transformer,gn,es,6.33e-05,203,1,6000,280,12.77,34.64
transformer,gn,es,9.26e-05,231,1,4000,250,12.34,34.62
transformer,gn,es,5.91e-05,199,1,6000,370,12.77,34.22
transformer,gn,es,5.16e-05,193,1,8000,290,12.62,34.16
